text,text_type,source,author
Pekikan HIDUP JOKOWI dari Prabowo adalah penguat indikasi bahwa omongan anda itu bertolak belakang dengan kenyataan. Jangan lah presiden represif kepada rakyat nya yg kritis tetapi lembek kepada para koruptor dan pelanggar hukum yg bertebaran di sekeliling anda pak!,social_media_comment,KidzRizal/twitter-sentiment-analysis,human
Kang bgtu juga presiden rakytmu minta tolong🙏,social_media_comment,KidzRizal/twitter-sentiment-analysis,human
"Postingan ini dibagikan via TikTok Lite. Tuh...Demo adili Jokowi dan menolak kebijakan Presiden yg baru 100 hari menjabat SDH di demo oleh Rakyatnya, sdi negara tetangga Taiwan...Malu, nga...malu'kan...",social_media_comment,KidzRizal/twitter-sentiment-analysis,human
Dulu juga dia bersaksi bahwah di pecat orang yang lihai dan licin sepertia dia tidak akan mendapat manfaat bagi indonesia dia ketua ekonomi tapi dolar menembus terlemah dalam sejarah kerjanya apa coba itu data fakta lapangan!!,social_media_comment,KidzRizal/twitter-sentiment-analysis,human
"Di bawah kepemimpinan Presiden Prabowo Subianto, Kabinet Merah Putih telah menorehkan banyak prestasi dan pencapaian. ""Highlight 100 Hari Kabinet Merah Putih Membangun Negeri"" dapat disaksikan pada kanal Youtube BSIP Serealia.",social_media_comment,KidzRizal/twitter-sentiment-analysis,human
"pak tolong dengerin keluhan sebagian rakyatmu yg belum bisa hidup sejahtera. Ingat pak, janji Bpk sebelum jadi presiden. akan mengejar koruptor sampai ke Antartika. Masih ingatkah bapak???? Di momen lebaran ini, bersihkan yg membuat kotor pemerintahan bapak. no omon2 😊",social_media_comment,KidzRizal/twitter-sentiment-analysis,human
"Wah di prediksi sama Prof Ferry pemerintahan bisa digulingkan. Aku harus kasi keyakinan nih sama Prof. Bahwa tdk mungkin di jatuhkan oleh Rakyat.. Percaya deh pemerintah udah On The Track kok, Bentar lagi Buruh Yg di PHK bisa kerja lagi",social_media_comment,KidzRizal/twitter-sentiment-analysis,human
Akhirnya langkah konkret untuk berantas korupsi! Kami dukung penuh pemerintahan Prabowo dalam memberantas kejahatan ini!,social_media_comment,KidzRizal/twitter-sentiment-analysis,human
"ini pemerintahannya prabowo gibran kerja ga sih? negara kacau banget ini loh, gaada solusi pula!",social_media_comment,KidzRizal/twitter-sentiment-analysis,human
"Jauh lebih mudah membangun Perdamaian daripada memulai dan menghentikan perang Perang, penjara dan hukuman mati saya anggap tradisi warisan kerajaan purba yang mesti dihapus dari muka bumi Para ahli hukum buntu pikirannya untuk mencapai pengetahuan ini",social_media_comment,KidzRizal/twitter-sentiment-analysis,human
"Prabowo usung konsep baru: kerjasama dagang, hilirisasi SDA, dan perkuatan konsumsi lokal berpadu hadapi tarif",social_media_comment,KidzRizal/twitter-sentiment-analysis,human
Yg dikhawatirkan: - semua orang beli emas karna ketidakpastian ekonomi - keran impor dibuka luas -&gt; rupiah melemah - PHK dimana2 krna bisnis domestik ga bisa lawan impor - kelas menengah kena dampak? Stabilitas negara rusak Pemerintah harus perbaiki secepatnya sebelum terlambat,social_media_comment,KidzRizal/twitter-sentiment-analysis,human
"Dukungan internet berkecepatan tinggi dari sukseskan peresmian 17 stadion oleh Presiden Prabowo. Koneksi stabil, olahraga makin berkembang!",social_media_comment,KidzRizal/twitter-sentiment-analysis,human
"Walaupun ada perkataan nya si fufufafa seperti itu,tapi pak Prabowo gak akan berani bertindak tegas terhadap fufufafa ini, soalnya sama-sama menyandera kasus hukum.",social_media_comment,KidzRizal/twitter-sentiment-analysis,human
Terkait kritis RUU TNI : 1) Yang Posting Buzzer. 2) Yang Komentar Buzzer. 3). Yang Demo Buzzer. Sampai di sini kalian paham kan adek-adek..,social_media_comment,KidzRizal/twitter-sentiment-analysis,human
"Konglomerat yang juga investor asal Amerika Serikat (AS), Ray Dalio meyakini bahwa Presiden Prabowo Subianto mampu melakukan reformasi agar pengelolaan invetasi Indonesia bisa menjadi lebih baik. Hal ini disampaikan Ray Dalio dalam pertemuannya dengan Presiden Prabowo Subianto yang turut dihadiri oleh sejumlah pengusaha swasta Tanah Air di Istana Merdeka, Jakarta, Jumat (7/3/2025). ""Menurut saya Prabowo adalah orang yang tepat, dan membuat saya mau kemari untuk bertemu dengan Anda langsung, karena kita telah membahas tentang ini,"" ucap Ray Dalio. Lebih lanjut, Dia menegaskan, bahwa kehadirannya ke Indonesia bukan karena uang. Melainkan, untuk berkontribusi terhadap perekonomian Indonesia untuk melakukan lompatan.",social_media_comment,KidzRizal/twitter-sentiment-analysis,human
"Penegakan hukum itu penting, betul. Cuma Presiden perlu imbangi dengan sosialisasi dan komunikasi dg publik soal kebijakan, proyek2 besar, stimulus ekonomi, atau apapun yg bisa jaga optimisme/harapan masyarakat/pasar.",social_media_comment,KidzRizal/twitter-sentiment-analysis,human
ruu TNI rapatnya diam2 dihotel pula kan tai kotok disambelin rezim !!! sesuai UU nya dimane tante?,social_media_comment,KidzRizal/twitter-sentiment-analysis,human
"Tambahin: Presiden yg +/- 100 hari masa kerjanya, fotonya dibakar oleh demontran",social_media_comment,KidzRizal/twitter-sentiment-analysis,human
"Prabowo siap kembangkan ekonomi dengan taktik baru: mitra dagang diperluas, SDA dimanfaatkan maksimal, konsumsi domestik jadi kekuatan lawan tarif impor AS",social_media_comment,KidzRizal/twitter-sentiment-analysis,human
"Kenapa sih itu org2 menempatkan presiden seolah2 kek bayi yg gatau apa2, gak ikut2an dlm kebijakan ngawur yg dibuat padahal ibarat rumah presiden nih kepala rumahnya, yakaliii gatau, gak terlibat, dan diem aja bawahan2nya ngadi2 gitu",social_media_comment,KidzRizal/twitter-sentiment-analysis,human
"MBG solusi utk segala nya Termasuk lawan kebijakan AS soal tarif impor Amazing, right !!!",social_media_comment,KidzRizal/twitter-sentiment-analysis,human
"Beneran, ne, Pak Wo? Keknya Pak Wo lbh setia sm Oknum Pengsiunan yg tlh membantu Pak Wo jd Presiden, ketimbang ""Setia"" pd rakyat sprti janji Kampanye Pak Wo dl, yg katanya mo ""Timbul tenggelam bersama rakyat"",trnyta cuman Omon2 doang"". Buktinya skrg Pak wo lbh memilih Mulyono?😎",social_media_comment,KidzRizal/twitter-sentiment-analysis,human
KOMITMEN PRESIDEN PRABOWO SUBIANTO MENINDAK TEGAS MAFIA MIGAS DEMI KEADILAN DAN KEMAKMURAN BANGSA,social_media_comment,KidzRizal/twitter-sentiment-analysis,human
"100 Hari Kabinet Merah Putih Presiden Republik Indonesia Prabowo Subianto dan Wakil Presiden Gibran Rakabuming Raka. ""Bersama Indonesia Maju Menuju Indonesia Emas 2045"" .",social_media_comment,KidzRizal/twitter-sentiment-analysis,human
Woi elu berdua sadar gak sih kalo negeri yg lu pimpin ini isinya kebanyakan preman !!!!! Tolong dikondisikan dong,social_media_comment,KidzRizal/twitter-sentiment-analysis,human
"Seandainya suatu saat Indonesia diinvasi asing, solusi dari Prabowo juga MBG.",social_media_comment,KidzRizal/twitter-sentiment-analysis,human
"Memangnya, siapa sih yang layak dan pantas jadi Presiden Indonesia?",social_media_comment,KidzRizal/twitter-sentiment-analysis,human
"Yappp, dan ntah kenapa kalo disuruh sebutin Presiden Indonesia, sampe sekarang di kepalaku cuman muncul sampe 6 nama doang :))",social_media_comment,KidzRizal/twitter-sentiment-analysis,human
IHSG bukan karena kebijakan Amerika tetapi kepastian hukum yang ada di Indonesia lebih kuat peraturan dibanding undang undang. Dimana dalam pembuatan peraturan Indonesia atau badan tertentu tidak melibatkan dpr ri dan rakyat sehingga peraturan blundar dengan undang2,social_media_comment,KidzRizal/twitter-sentiment-analysis,human
"Dalam masa 100 hari kerja Kabinet Merah Putih, WIKA berhasil selesaikan dan operasikan Sistem Penyediaan Air Minum (SPAM) Regional Jatiluhur 1. Proyek strategis ini bertujuan memenuhi kebutuhan air bersih di wilayah Jabodetabek dan Jawa Barat.",social_media_comment,KidzRizal/twitter-sentiment-analysis,human
"Mantap, IHSG naik 4,79%! Ekonomi makin kuat, rakyat dan pemerintah solid",social_media_comment,KidzRizal/twitter-sentiment-analysis,human
"Dulu ceritanya di Twitter menyebut Natalius Pigai dengan menyamakan dengan ""M"" yang belum selesai ber-evolusi, lalu akan di bawa ke jalur hukum oleh NP tetapi di damaikan oleh Dasco yang mungkin pakai syarat menjadi pendukung &amp; buzzer Prabowo, sejak itu berubah 180°",social_media_comment,KidzRizal/twitter-sentiment-analysis,human
"Cek kesehatan gratis dari Prabowo, karena kesehatan adalah investasi berharga",social_media_comment,KidzRizal/twitter-sentiment-analysis,human
"Langkah Presiden Prabowo: mitra dagang diperkuat, hilirisasi SDA, konsumsi domestik diperkuat lawan tarif AS",social_media_comment,KidzRizal/twitter-sentiment-analysis,human
ngomong sampe berbusa-busa tentang EKONOMI JIHAU. Tapi kelakuannya sebaliknya. Danantara-pun jadi kendaraan. HAUS SETELAH 20 TAHUN TAK BERKUASA. Kini bukan lagi melepas dahaga. Tapi memuaskan nafsu,social_media_comment,KidzRizal/twitter-sentiment-analysis,human
"rangkuman menonton 3 jam -- komunikasi dengan publik terbaik sepanjang pemerintahan beliau (ada bedanya dikomper dengan wawancara dua hari yang lalu) walau enggak semua rencananya bakal berjalan lancar karena skill issue government, paling tidak perlu banyak buat forum begini",social_media_comment,KidzRizal/twitter-sentiment-analysis,human
"itulah pentingnya sekretariat di K/L diiisi profesional. Penting merinci pos yg layak di pangkas dan yg harus di tambah. haduh, lebih 100 hari kerja masih blum nunjukin perbaikan pelayanan. tp ya emang OMON², 11 PERSEN ✅ contoh efisiensi dimulai dari menggemukkan kabinet kok",social_media_comment,KidzRizal/twitter-sentiment-analysis,human
Masyarakat puas dengan kinerja presiden prabowo di 100 hari kerja,social_media_comment,KidzRizal/twitter-sentiment-analysis,human
"Bantuan lebaran dari Presiden semoga bisa sedikit meringankan Dg kebijakan2 pro rakyat mempersiapkan negara menjadi kaya raya, insyaallah 5 tahun kemudian situasi seperti ini tak lagi terjadi Presiden sangat mencintai kalian, apapun dilakukan tuk sejahterakan rakyat♥️",social_media_comment,KidzRizal/twitter-sentiment-analysis,human
"Dulu banyak yg bilang kalo Anies Presiden, Indonesia bakal jadi kaya Israel, ternyata mereka sama dengan pimpinannya perkatanya selalu kebalikannya, saat ini sudah seperti Israel.",social_media_comment,KidzRizal/twitter-sentiment-analysis,human
"Prabowo-Gibran sebenarnya dilantik tanggal 20 Oktober 2024 Atau 2 Oktober 2024?! Seharusnyakan (20+10)+(2+0+2+4) Kok malah jadi (2+10)+(2+0+2+4) Padahal 30 itu 3+0=3, hasilnya tetap sama pada akhirnya no 2.. Pantesan dah APBN sampai sekarang ribet ga jelas..",social_media_comment,KidzRizal/twitter-sentiment-analysis,human
"Top bgt pencapaian 100 hari kerja kabinet prabowo, Menteri BUMN Erick Thohir masuk menteri yg paling terbanyak dibaca Kim Saeron Senin",social_media_comment,KidzRizal/twitter-sentiment-analysis,human
Mudah2an Prabowo legacy nya sebagai presiden bagus.. Dan mudah2an tidak di dor seperti Abraham Lincoln karena kebijakan-kebijakan nya..,social_media_comment,KidzRizal/twitter-sentiment-analysis,human
"Disaat negara Thailand banyak dapat bantuan daripihak asing untuk evakuasi bangunan yang roboh dan mencari korban,disisi lain Myanmar kerja sendiri .Kasihan rakyatnya cuma bisa berpangku tangan dari egoisny pemerintah.Saya harap anda belajar dari sini pak",social_media_comment,KidzRizal/twitter-sentiment-analysis,human
Prabowo Gemar Menyakiti Hati Rakyat. “Presiden Prabowo adalah figur yang sulit ditemui rakyatnya. Terkesan sombong dan elitis. Cuma mahir omong soal kerakyatan dan pemerintahan bersih tanpa realisasi.”,social_media_comment,KidzRizal/twitter-sentiment-analysis,human
Pemerintah menyambut baik hasil survei yang menunjukkan tingginya tingkat kepuasan masyarakat terhadap kinerja Presiden Prabowo Subianto dan Kabinet Merah Putih dalam 100 hari pertama masa kerja.,social_media_comment,KidzRizal/twitter-sentiment-analysis,human
"Indonesia hancur sehancur-hancurnya. Diporak-porandakan oleh tikus berdasi dan keluarga mebel, bahkan presiden yang baru menjabat 100 hari lebih aja udah bisa bikin kacau balau. Kasihan banget bumi pertiwi kita kembali dijajah.",social_media_comment,KidzRizal/twitter-sentiment-analysis,human
"Personel Polsek Balongbendo Berikan Bantuan Bibit Jagung kepada Petani Sidoarjo – Dalam rangka program ketahanan pangan Polresta Sidoarjo sebagai bentuk mendukung Asta Cita Presiden Prabowo Subianto, personel Polsek Balongbendo memberikan bantuan bibit jagung kepada para petani",social_media_comment,KidzRizal/twitter-sentiment-analysis,human
"Ketumnya sdh ktm sm Presiden utk sama2 membangun bangsa, tp buzzer2nya yg bangsat semua msh ngejelek2in program pemerintahan Prabowo ( MBG ). Sakit hati capresnya kalah jd pd sinting semua buzzer2nya pdip.",social_media_comment,KidzRizal/twitter-sentiment-analysis,human
Bisa nggak sih Pak Presiden &amp; Wapres memberantas ormas2 &amp; preman2 yg suka malakin?,social_media_comment,KidzRizal/twitter-sentiment-analysis,human
"tolong dong tim komunikasi pemerintah beneran rekrut dari orang-orang komunikasi, komunikasi bawahan kalian jelek bngt anjg",social_media_comment,KidzRizal/twitter-sentiment-analysis,human
"Erick Thohir tak lebih menteri rasa buzzeRp Jokowi, trouble maker FIFA PSSI &amp; Pertamina 100 Hari Presiden Prabowo berkuasa tapi msh kewalahan hadapi trick Mulyono yg touring Solo Jakarta manfaatin orang²nya di kabinet Jokowi adlh pengendali posisi² strategis pemerintahan &amp; BUMN",social_media_comment,KidzRizal/twitter-sentiment-analysis,human
pak &amp; gmn ni dollar udh di 17rb?? ada solusi kah?,social_media_comment,KidzRizal/twitter-sentiment-analysis,human
"Pak Prabowo lebih sayang sama warga Gaza drpd sama warga negara indonesia, lebih memilih kasihan sama anak² koruptor drpd anak² yg tdak koruptor. Pernyataan selalu blunder di kalangan pemerintahan. Jdi jgn salahkan warga indonesia yg memilih kerja di luar negeri drpd di Indonesia",social_media_comment,KidzRizal/twitter-sentiment-analysis,human
"🧵 THREAD | Strategi Prabowo Hadapi Tarif Impor Trump: Diplomasi, Diversifikasi, dan Danantara",social_media_comment,KidzRizal/twitter-sentiment-analysis,human
Presiden RI Prabowo Subianto geram dengan tingkah koruptor di Indonesia. Prabowo merasa 100 hari sudah cukup untuk memberikan kesempatan kepada koruptor untuk mengembalikan uang negara.,social_media_comment,KidzRizal/twitter-sentiment-analysis,human
Pemerintah berkomitmen untuk mengatasi kesenjangan ekonomi gender melalui program inklusi dan pelatihan,social_media_comment,KidzRizal/twitter-sentiment-analysis,human
"moon maap nder nih ya, moon maap bgt bukannya mau ngejulid, secantik apapun km, km gabakalan bs ngerebut dari bunda ted. ibu2 itu ngasal ngomong aj yg calon istrinya presiden itu. make up km ga gagal tp klo mau ngerebut dr bunda udh jls pasti gagal😔",social_media_comment,KidzRizal/twitter-sentiment-analysis,human
"terus kemarin pengesahan RUU TNI dan draftnya sampai sekarang gaada di website itu gimana ya pak ceritanya? Dari kemarin bikin statement blunder terus, gara-gara kelakuan kalian itu akhirnya militer bentrok sama warga yang menjunjung tinggi keadilan🤬",social_media_comment,KidzRizal/twitter-sentiment-analysis,human
"“Ini modal politik yang besar sekali buat Presiden Prabowo Subianto,” ujar Peneliti Utama Indikator Politik Indonesia Burhanuddin Muhtadi saat menyampaikan survei bertajuk ‘Evaluasi Publik Atas Kinerja 100 Hari Presiden Prabowo dan Kabinet Merah Putih’ secara virtual",social_media_comment,KidzRizal/twitter-sentiment-analysis,human
"AHY Hadiri Diskusi Publik MN KAHMI, 100 Hari Kabinet 100 Menteri Antara Harapan dan Tantangan",social_media_comment,KidzRizal/twitter-sentiment-analysis,human
Bajingan berseragam. Semua sopir jg dah paham. kapan hukum mati koruptor.,social_media_comment,KidzRizal/twitter-sentiment-analysis,human
"Menghadapi banjir, Prabowo dengan Program 3 Juta Rumah memberikan solusi relokasi yang menjanjikan",social_media_comment,KidzRizal/twitter-sentiment-analysis,human
"Prabowo butuh modal untuk mengalahkan Anies di pilpres kemarin,kumpulin modal saat jadi menhan,kalo bukan karena bantuan nya Jokowi dia bisa apa,,",social_media_comment,KidzRizal/twitter-sentiment-analysis,human
"Ini cara berantas koruptor yg sangat efisien dan efektif. Tidak perlu bikin penjara di pulau terpencil yg kuras APBN dan dijamin tdk efektif Cukup bikin Perppu atau kepres Hukum mati koruptor Sangat mudah, dan kurang dari 2 tahun Republik ini akan bersih",social_media_comment,KidzRizal/twitter-sentiment-analysis,human
"Presiden Prabowo Bertemu 8 Pengusaha Besar, Bahas Ekonomi dan Kesejahteraan Rakyat Kolaborasi Pemerintah &amp; Pengusaha untuk Indonesia Maju",social_media_comment,KidzRizal/twitter-sentiment-analysis,human
Indonesia economy kepastian hukum dan kemudahan bisnis era prabowo ?,social_media_comment,KidzRizal/twitter-sentiment-analysis,human
"Danantara Indonesia hadir sebagai kekuatan baru dalam membangun masa depan ekonomi bangsa. Dengan pendekatan inklusif, Danantara memastikan setiap warga negara memiliki kesempatan untuk berkontribusi dan merasakan manfaat dari kemajuan yang dicapai.",social_media_comment,KidzRizal/twitter-sentiment-analysis,human
"Sudah Lewati 100 Hari Kerja, Presiden Prabowo Perintahkan Kajagung, Kapolri, KKP Sikat Pejabat Nakal",social_media_comment,KidzRizal/twitter-sentiment-analysis,human
Langkah pasti Presiden Prabowo bersinergi dengan Ray Dalio &amp; figur ekonomi nasional lain untuk Ekonomi Kokoh,social_media_comment,KidzRizal/twitter-sentiment-analysis,human
Kerajaan kena serius dengan isu pengangguran ni. Kos sara hidup naik tinggi macam tu orang susah makin terhimpit. Harap Prabowo boleh cari jalan penyelesaian bukan buat janji manis je.,social_media_comment,KidzRizal/twitter-sentiment-analysis,human
"Bantu Tingkatkan Kesejahteraan Umat, Prabowo Subianto Apresiasi Kinerja Baznas",social_media_comment,KidzRizal/twitter-sentiment-analysis,human
Editan..jngn bgini dunk..jujur aja sampaikan aspirasinya .lebih elegan,social_media_comment,KidzRizal/twitter-sentiment-analysis,human
"Pasar aman, kepercayaan tumbuh. Pemerintah hadir menjaga kestabilan ekonomi dalam situasi sulit",social_media_comment,KidzRizal/twitter-sentiment-analysis,human
"Melihat 100 Hari Kabinet Merah Putih, melangkah dengan optimis!",social_media_comment,KidzRizal/twitter-sentiment-analysis,human
"Prabowo: We can only succeed through hard work and collaboration between the government, private conglomerates, UMKM, and Koperasi.",social_media_comment,KidzRizal/twitter-sentiment-analysis,human
"kalau kasus ijasah palsu Jokowi tidak diselesaikan segera atau dimanfaatkan oleh Prabowo sebagai senjata, maka saya menilai Prabowo tidak amanah. Kasus ijasah palsu Jokowi harus segera diselesaikan. Hukum tidak pandang bulu dan hukum harus ditegakkan secara tegas.",social_media_comment,KidzRizal/twitter-sentiment-analysis,human
Mundur dulu ah gak kuat,social_media_comment,KidzRizal/twitter-sentiment-analysis,human
Swasembada pangan adalah kunci untuk ketahanan nasional. Pemerintahan Prabowo akan membawa Indonesia lebih mandiri dalam pangan dan maju,social_media_comment,KidzRizal/twitter-sentiment-analysis,human
Janji tros. Ini udah jadi presiden bukan lagi kampanye. Buktikan jang omon2 doang,social_media_comment,KidzRizal/twitter-sentiment-analysis,human
"Can we walk into that time? Gak merasa insecure, gak mikirin masalah pemerintahan, gak mikir susah nyari kerja. Beban terberat cuma pr mtk sama ketinggalan nonton ninja hatori😔😭",social_media_comment,KidzRizal/twitter-sentiment-analysis,human
"Ketika banjir jadi ancaman, Prabowo dengan Program 3 Juta Rumah jadi solusi relokasi yang nyata",social_media_comment,KidzRizal/twitter-sentiment-analysis,human
"Alasan aku menentukan salah satu pemerintahan daerah setempat yg terdaftar adalah untuk melakukan beberapa program pemerintah melalui ide,cara, dari hasil diskusi Mras,salah satu cara mengatasi banjir,longsor,macet,dll......",social_media_comment,KidzRizal/twitter-sentiment-analysis,human
Situasi Ekonomi Semakin Sulit Tapi Peluang Megawati Bertemu Prabowo Hanya 50 Persen.,social_media_comment,KidzRizal/twitter-sentiment-analysis,human
"janji janji kampanye prabowo gibran, berapa yang sudah terealisasi? apakah signifikan?",social_media_comment,KidzRizal/twitter-sentiment-analysis,human
