object_id,text,text_type,label,ai_model
sosmed_f769f497,[Hasil Tweet REWRITE oleh Claude dari teks asli sosmed_f769f497],social_media_comment,1,Claude
sosmed_f769f497,[Hasil Tweet REWRITE oleh Gemini dari teks asli sosmed_f769f497],social_media_comment,1,Gemini
sosmed_dc8b72f7,Serius 10 tahun PDIP yg rusakin negara ini? Apa kebijakan presiden yg diatur oleh PDIP yg sampe salah banget menurut lu? Cek semua menteri selama 10 tahun apa ada kader PDIP yg posisinya sangat startegis seperti BUMN?,social_media_comment,0,human
sosmed_dc8b72f7,[Hasil Tweet REWRITE oleh ChatGPT dari teks asli sosmed_dc8b72f7],social_media_comment,1,ChatGPT
sosmed_dc8b72f7,[Hasil Tweet REWRITE oleh Claude dari teks asli sosmed_dc8b72f7],social_media_comment,1,Claude
sosmed_dc8b72f7,[Hasil Tweet REWRITE oleh Gemini dari teks asli sosmed_dc8b72f7],social_media_comment,1,Gemini
sosmed_089016c3,Ketua KPK pilihan Mulyono pasti akan menyerang kebijakan Prabowo. Prabowo lemah.,social_media_comment,0,human
sosmed_089016c3,[Hasil Tweet REWRITE oleh ChatGPT dari teks asli sosmed_089016c3],social_media_comment,1,ChatGPT
sosmed_089016c3,[Hasil Tweet REWRITE oleh Claude dari teks asli sosmed_089016c3],social_media_comment,1,Claude
sosmed_089016c3,[Hasil Tweet REWRITE oleh Gemini dari teks asli sosmed_089016c3],social_media_comment,1,Gemini
sosmed_a9f077d5,"Pemerintah dan presiden prabowo serta menterinya memikirkan ekonomi kerakyatan yang bisa rakyat kecil jualan kaki lima,pasar dan rakyat indonesia bisa membeli barang dan sembako kembali ramai dan uang itu bisa berputar kembali untuk menjaga perwkonomian kita tidak terpuruk.",social_media_comment,0,human
sosmed_a9f077d5,[Hasil Tweet REWRITE oleh ChatGPT dari teks asli sosmed_a9f077d5],social_media_comment,1,ChatGPT
sosmed_a9f077d5,[Hasil Tweet REWRITE oleh Claude dari teks asli sosmed_a9f077d5],social_media_comment,1,Claude
sosmed_a9f077d5,[Hasil Tweet REWRITE oleh Gemini dari teks asli sosmed_a9f077d5],social_media_comment,1,Gemini
sosmed_56561214,"Melalui Undang-undang ini, pemerintah berupaya mengurangi birokrasi yang memperlambat pertumbuhan ekonomi",social_media_comment,0,human
sosmed_56561214,[Hasil Tweet REWRITE oleh ChatGPT dari teks asli sosmed_56561214],social_media_comment,1,ChatGPT
sosmed_56561214,[Hasil Tweet REWRITE oleh Claude dari teks asli sosmed_56561214],social_media_comment,1,Claude
sosmed_56561214,[Hasil Tweet REWRITE oleh Gemini dari teks asli sosmed_56561214],social_media_comment,1,Gemini
sosmed_7e966228,Gila gila nih kejaksaan agung capainnya dalam 100 hari kerja pada kabinet Merah Putih memuaskan sekali,social_media_comment,0,human
sosmed_7e966228,[Hasil Tweet REWRITE oleh ChatGPT dari teks asli sosmed_7e966228],social_media_comment,1,ChatGPT
sosmed_7e966228,[Hasil Tweet REWRITE oleh Claude dari teks asli sosmed_7e966228],social_media_comment,1,Claude
sosmed_7e966228,[Hasil Tweet REWRITE oleh Gemini dari teks asli sosmed_7e966228],social_media_comment,1,Gemini
sosmed_96f50577,Halo Simak bersama yuk video rekap 100 Hari Kerja Bersama Kabinet Merah Putih Presiden Prabowo Subianto berikut. Melangkah ke depan dengan Optimis 🇮🇩🇮🇩🇮🇩,social_media_comment,0,human
sosmed_96f50577,[Hasil Tweet REWRITE oleh ChatGPT dari teks asli sosmed_96f50577],social_media_comment,1,ChatGPT
sosmed_96f50577,[Hasil Tweet REWRITE oleh Claude dari teks asli sosmed_96f50577],social_media_comment,1,Claude
sosmed_96f50577,[Hasil Tweet REWRITE oleh Gemini dari teks asli sosmed_96f50577],social_media_comment,1,Gemini
sosmed_814b6102,ini fungsinya apa,social_media_comment,0,human
sosmed_814b6102,[Hasil Tweet REWRITE oleh ChatGPT dari teks asli sosmed_814b6102],social_media_comment,1,ChatGPT
sosmed_814b6102,[Hasil Tweet REWRITE oleh Claude dari teks asli sosmed_814b6102],social_media_comment,1,Claude
sosmed_814b6102,[Hasil Tweet REWRITE oleh Gemini dari teks asli sosmed_814b6102],social_media_comment,1,Gemini
sosmed_674b00a8,"Tiga gebrakan ekonomi Prabowo hadapi tarif AS: mitra dagang diperbanyak, hilirisasi SDA, konsumsi domestik lebih kuat",social_media_comment,0,human
sosmed_674b00a8,[Hasil Tweet REWRITE oleh ChatGPT dari teks asli sosmed_674b00a8],social_media_comment,1,ChatGPT
sosmed_674b00a8,[Hasil Tweet REWRITE oleh Claude dari teks asli sosmed_674b00a8],social_media_comment,1,Claude
sosmed_674b00a8,[Hasil Tweet REWRITE oleh Gemini dari teks asli sosmed_674b00a8],social_media_comment,1,Gemini
sosmed_84c475e4,Presiden Prabowo dorong UMKM naik kelas. dukung dengan OCA Interaction Lite untuk optimalkan bisnismu.,social_media_comment,0,human
sosmed_84c475e4,[Hasil Tweet REWRITE oleh ChatGPT dari teks asli sosmed_84c475e4],social_media_comment,1,ChatGPT
sosmed_84c475e4,[Hasil Tweet REWRITE oleh Claude dari teks asli sosmed_84c475e4],social_media_comment,1,Claude
sosmed_84c475e4,[Hasil Tweet REWRITE oleh Gemini dari teks asli sosmed_84c475e4],social_media_comment,1,Gemini
sosmed_44ade187,"haloo,butuh joki tugas? yang spessnya? hadir disini yaa! lulusan ilmu politik, spess ilmu pemerintahan, ilmu komunikasi, hubungan internasional, character building, PKN, Kewargangeraan, Bela Negara, dll yang trusted, fast work. testi 1400+",social_media_comment,0,human
sosmed_44ade187,[Hasil Tweet REWRITE oleh ChatGPT dari teks asli sosmed_44ade187],social_media_comment,1,ChatGPT
sosmed_44ade187,[Hasil Tweet REWRITE oleh Claude dari teks asli sosmed_44ade187],social_media_comment,1,Claude
sosmed_44ade187,[Hasil Tweet REWRITE oleh Gemini dari teks asli sosmed_44ade187],social_media_comment,1,Gemini
sosmed_12c1b992,Keamanan nasional yang kokoh dan efisiensi tinggi kini sejajar berkat RUU TNI dengan bantuan tenaga profesional TNI Perkuat Pertahanan,social_media_comment,0,human
sosmed_12c1b992,[Hasil Tweet REWRITE oleh ChatGPT dari teks asli sosmed_12c1b992],social_media_comment,1,ChatGPT
sosmed_12c1b992,[Hasil Tweet REWRITE oleh Claude dari teks asli sosmed_12c1b992],social_media_comment,1,Claude
sosmed_12c1b992,[Hasil Tweet REWRITE oleh Gemini dari teks asli sosmed_12c1b992],social_media_comment,1,Gemini
sosmed_923aa3b8,"Pada Minggu (06/04/2025), Presiden Prabowo Subianto melakukan pertemuan dengan 7 orang jurnalis dari 7 media yang berbeda di Hambalang, Jawa Barat. Melalui wawancara tersebut, Prabowo menjawab sejumlah pertanyaan seputar isu terkini.",social_media_comment,0,human
sosmed_923aa3b8,[Hasil Tweet REWRITE oleh ChatGPT dari teks asli sosmed_923aa3b8],social_media_comment,1,ChatGPT
sosmed_923aa3b8,[Hasil Tweet REWRITE oleh Claude dari teks asli sosmed_923aa3b8],social_media_comment,1,Claude
sosmed_923aa3b8,[Hasil Tweet REWRITE oleh Gemini dari teks asli sosmed_923aa3b8],social_media_comment,1,Gemini
sosmed_1be96d0b,"Asset mega jauh lebih besar di pemerintahan khususnya di parlemen sebagai partai pemenang pemilu, ketimbang Jokowi yang hanya mewariskan gibran sebagai wapres.",social_media_comment,0,human
sosmed_1be96d0b,[Hasil Tweet REWRITE oleh ChatGPT dari teks asli sosmed_1be96d0b],social_media_comment,1,ChatGPT
sosmed_1be96d0b,[Hasil Tweet REWRITE oleh Claude dari teks asli sosmed_1be96d0b],social_media_comment,1,Claude
sosmed_1be96d0b,[Hasil Tweet REWRITE oleh Gemini dari teks asli sosmed_1be96d0b],social_media_comment,1,Gemini
sosmed_1602baa0,Kok udah malah jadi juru bicaranya ? Apa jangan - jangan udah dapat intervensi dari atas ya ? Setelah lakukan pertemuan tenga malam dengan Sebenarnya pemerintahan serius mau berantas korupsi atau hanya omon - omon doang ?,social_media_comment,0,human
sosmed_1602baa0,[Hasil Tweet REWRITE oleh ChatGPT dari teks asli sosmed_1602baa0],social_media_comment,1,ChatGPT
sosmed_1602baa0,[Hasil Tweet REWRITE oleh Claude dari teks asli sosmed_1602baa0],social_media_comment,1,Claude
sosmed_1602baa0,[Hasil Tweet REWRITE oleh Gemini dari teks asli sosmed_1602baa0],social_media_comment,1,Gemini
sosmed_02d3c38b,Pemeriksaan kesehatan gratis untuk warga Indonesia! Sukseskan program Prabowo-Gibran demi masa depan yang sehat!,social_media_comment,0,human
sosmed_02d3c38b,[Hasil Tweet REWRITE oleh ChatGPT dari teks asli sosmed_02d3c38b],social_media_comment,1,ChatGPT
sosmed_02d3c38b,[Hasil Tweet REWRITE oleh Claude dari teks asli sosmed_02d3c38b],social_media_comment,1,Claude
sosmed_02d3c38b,[Hasil Tweet REWRITE oleh Gemini dari teks asli sosmed_02d3c38b],social_media_comment,1,Gemini
sosmed_6b1b53e7,Kami segenap keluarga besar Kotanopan mengapresiasi dan mendukung penuh atas pencapaian bersama 100 hari Kabinet Merah Putih Melangkah ke depan dengan optimis Menuju Indonesia Emas 2045,social_media_comment,0,human
sosmed_6b1b53e7,[Hasil Tweet REWRITE oleh ChatGPT dari teks asli sosmed_6b1b53e7],social_media_comment,1,ChatGPT
sosmed_6b1b53e7,[Hasil Tweet REWRITE oleh Claude dari teks asli sosmed_6b1b53e7],social_media_comment,1,Claude
sosmed_6b1b53e7,[Hasil Tweet REWRITE oleh Gemini dari teks asli sosmed_6b1b53e7],social_media_comment,1,Gemini
sosmed_f528d043,serius ini totally pemerintahan prabowo? org pd ga percaya pak,social_media_comment,0,human
sosmed_f528d043,[Hasil Tweet REWRITE oleh ChatGPT dari teks asli sosmed_f528d043],social_media_comment,1,ChatGPT
sosmed_f528d043,[Hasil Tweet REWRITE oleh Claude dari teks asli sosmed_f528d043],social_media_comment,1,Claude
sosmed_f528d043,[Hasil Tweet REWRITE oleh Gemini dari teks asli sosmed_f528d043],social_media_comment,1,Gemini
sosmed_accbfe14,Trump inginkan investor masuk ke Amerika dengan membangun pabrik karena AS membebaskan pajak bagi yang produksi di dalam negeri. Langkah tersebut diambil untuk menambah lapangan kerja AS dan berupaya lakukan perundingan dengan semua negara 0 % eksport dari AS ke Luar.,social_media_comment,0,human
sosmed_accbfe14,[Hasil Tweet REWRITE oleh ChatGPT dari teks asli sosmed_accbfe14],social_media_comment,1,ChatGPT
sosmed_accbfe14,[Hasil Tweet REWRITE oleh Claude dari teks asli sosmed_accbfe14],social_media_comment,1,Claude
sosmed_accbfe14,[Hasil Tweet REWRITE oleh Gemini dari teks asli sosmed_accbfe14],social_media_comment,1,Gemini
sosmed_74fb602d,Kita sdh diajar oleh Founding father politik bebas aktif dan non blok agar politik dan ekonomi negara tidak dipermainkan dan merugikan bangsa dan negara. Ini salah satu dampak dari kecondongan ke Merah Asia.,social_media_comment,0,human
sosmed_74fb602d,[Hasil Tweet REWRITE oleh ChatGPT dari teks asli sosmed_74fb602d],social_media_comment,1,ChatGPT
sosmed_74fb602d,[Hasil Tweet REWRITE oleh Claude dari teks asli sosmed_74fb602d],social_media_comment,1,Claude
sosmed_74fb602d,[Hasil Tweet REWRITE oleh Gemini dari teks asli sosmed_74fb602d],social_media_comment,1,Gemini
sosmed_b924e43c,"Pemerintah terus bergerak maju—dari menjaga kestabilan ekonomi, menurunkan harga pangan, hingga mendorong pembangunan infrastruktur di berbagai daerah",social_media_comment,0,human
sosmed_b924e43c,[Hasil Tweet REWRITE oleh ChatGPT dari teks asli sosmed_b924e43c],social_media_comment,1,ChatGPT
sosmed_b924e43c,[Hasil Tweet REWRITE oleh Claude dari teks asli sosmed_b924e43c],social_media_comment,1,Claude
sosmed_b924e43c,[Hasil Tweet REWRITE oleh Gemini dari teks asli sosmed_b924e43c],social_media_comment,1,Gemini
sosmed_71481f76,Saya minta tolong kepada pa untuk bisa meninjau keputusan untuk kami para CASN 2024 bisa di segerakan mendapatkan Hak TMT sesuai prediksi BKN sebelumnya🙏🏻,social_media_comment,0,human
sosmed_71481f76,[Hasil Tweet REWRITE oleh ChatGPT dari teks asli sosmed_71481f76],social_media_comment,1,ChatGPT
sosmed_71481f76,[Hasil Tweet REWRITE oleh Claude dari teks asli sosmed_71481f76],social_media_comment,1,Claude
sosmed_71481f76,[Hasil Tweet REWRITE oleh Gemini dari teks asli sosmed_71481f76],social_media_comment,1,Gemini
sosmed_6aac392c,"Kalian semua orasi treak treak, demo berhari hari. Tetep kalah suara lantangnya dengan orang yg bisa ngomong langsung oleh pemerintah di debat pemilu. Anies ngomong tentang 11/100 ajh udah bikin galau kabinet. Jadi, kemarahan rakyat sekarang tuh udah disampaikan kemaren pemilu",social_media_comment,0,human
sosmed_6aac392c,[Hasil Tweet REWRITE oleh ChatGPT dari teks asli sosmed_6aac392c],social_media_comment,1,ChatGPT
sosmed_6aac392c,[Hasil Tweet REWRITE oleh Claude dari teks asli sosmed_6aac392c],social_media_comment,1,Claude
sosmed_6aac392c,[Hasil Tweet REWRITE oleh Gemini dari teks asli sosmed_6aac392c],social_media_comment,1,Gemini
sosmed_eddeaff4,"Sebenernya klo mau ngelakuin sesuatu liat tujuannya, coba yg bantu2 itu pura2 aja pake atribut tulisan “Bantuan Prabowo” pasti yg ijo dan yg coklat bingung juga mau ngapain. Tujuannya tetep dapet, bantu yang lain.",social_media_comment,0,human
sosmed_eddeaff4,[Hasil Tweet REWRITE oleh ChatGPT dari teks asli sosmed_eddeaff4],social_media_comment,1,ChatGPT
sosmed_eddeaff4,[Hasil Tweet REWRITE oleh Claude dari teks asli sosmed_eddeaff4],social_media_comment,1,Claude
sosmed_eddeaff4,[Hasil Tweet REWRITE oleh Gemini dari teks asli sosmed_eddeaff4],social_media_comment,1,Gemini
sosmed_119db1e7,Barang bukti yg kuat utk menjadi pintu masuk memakzulkan prabowo-gibran. Bukti kecurangan pilpres itu nyata &amp; sudah terang benderang !! Ayo rakyat 🇮🇩 bergerak !! Ayo adek2 mahasiswa bergerak !! Ayo makzulkan prabowo-gibran !! Merdeka 🇮🇩 !!,social_media_comment,0,human
sosmed_119db1e7,[Hasil Tweet REWRITE oleh ChatGPT dari teks asli sosmed_119db1e7],social_media_comment,1,ChatGPT
sosmed_119db1e7,[Hasil Tweet REWRITE oleh Claude dari teks asli sosmed_119db1e7],social_media_comment,1,Claude
sosmed_119db1e7,[Hasil Tweet REWRITE oleh Gemini dari teks asli sosmed_119db1e7],social_media_comment,1,Gemini
sosmed_0eefb9c3,"Justru ini indikasi mereka takut gk si sama kita? makanya dia ngeluarin statement gitu. Karena kalo dia respon serius, malah bakal ngefek ke pemerintahan",social_media_comment,0,human
sosmed_0eefb9c3,[Hasil Tweet REWRITE oleh ChatGPT dari teks asli sosmed_0eefb9c3],social_media_comment,1,ChatGPT
sosmed_0eefb9c3,[Hasil Tweet REWRITE oleh Claude dari teks asli sosmed_0eefb9c3],social_media_comment,1,Claude
sosmed_0eefb9c3,[Hasil Tweet REWRITE oleh Gemini dari teks asli sosmed_0eefb9c3],social_media_comment,1,Gemini
sosmed_d50983ad,"sejak jaman &amp; skrg , roadmap kemandirian dibangun setapak demi setapak. TKDN adlh slh satu contoh baik u/ membawa perimbangan ekonomi scr lbh adil, bhkn pun akhirnya patuh &amp; memberikan komitmen investasi &amp; membayar denda penundaan investasi",social_media_comment,0,human
sosmed_d50983ad,[Hasil Tweet REWRITE oleh ChatGPT dari teks asli sosmed_d50983ad],social_media_comment,1,ChatGPT
sosmed_d50983ad,[Hasil Tweet REWRITE oleh Claude dari teks asli sosmed_d50983ad],social_media_comment,1,Claude
sosmed_d50983ad,[Hasil Tweet REWRITE oleh Gemini dari teks asli sosmed_d50983ad],social_media_comment,1,Gemini
sosmed_7efd90fe,"Hantam balik aja pak said didu...Presiden sdh ""berpihak"" ke oligarki tampaknya, itu si Aguan ke istana sama naga2 cina,harus cara rakyat,maen hakim sendiri! Geruduk preman2 item, boyong2 tanah/calo/makelar termasuk Kades dan jawara dr jalur hitam, antek pik2 aguan cina! Merdeka!☝️🇲🇨",social_media_comment,0,human
sosmed_7efd90fe,[Hasil Tweet REWRITE oleh ChatGPT dari teks asli sosmed_7efd90fe],social_media_comment,1,ChatGPT
sosmed_7efd90fe,[Hasil Tweet REWRITE oleh Claude dari teks asli sosmed_7efd90fe],social_media_comment,1,Claude
sosmed_7efd90fe,[Hasil Tweet REWRITE oleh Gemini dari teks asli sosmed_7efd90fe],social_media_comment,1,Gemini
sosmed_a9b55a71,Pekikan HIDUP JOKOWI dari Prabowo adalah penguat indikasi bahwa omongan anda itu bertolak belakang dengan kenyataan. Jangan lah presiden represif kepada rakyat nya yg kritis tetapi lembek kepada para koruptor dan pelanggar hukum yg bertebaran di sekeliling anda pak!,social_media_comment,0,human
sosmed_a9b55a71,[Hasil Tweet REWRITE oleh ChatGPT dari teks asli sosmed_a9b55a71],social_media_comment,1,ChatGPT
sosmed_a9b55a71,[Hasil Tweet REWRITE oleh Claude dari teks asli sosmed_a9b55a71],social_media_comment,1,Claude
sosmed_a9b55a71,[Hasil Tweet REWRITE oleh Gemini dari teks asli sosmed_a9b55a71],social_media_comment,1,Gemini
sosmed_3efbc846,Kang bgtu juga presiden rakytmu minta tolong🙏,social_media_comment,0,human
sosmed_3efbc846,[Hasil Tweet REWRITE oleh ChatGPT dari teks asli sosmed_3efbc846],social_media_comment,1,ChatGPT
sosmed_3efbc846,[Hasil Tweet REWRITE oleh Claude dari teks asli sosmed_3efbc846],social_media_comment,1,Claude
sosmed_3efbc846,[Hasil Tweet REWRITE oleh Gemini dari teks asli sosmed_3efbc846],social_media_comment,1,Gemini
sosmed_bfb3b514,"Postingan ini dibagikan via TikTok Lite. Tuh...Demo adili Jokowi dan menolak kebijakan Presiden yg baru 100 hari menjabat SDH di demo oleh Rakyatnya, sdi negara tetangga Taiwan...Malu, nga...malu'kan...",social_media_comment,0,human
sosmed_bfb3b514,[Hasil Tweet REWRITE oleh ChatGPT dari teks asli sosmed_bfb3b514],social_media_comment,1,ChatGPT
sosmed_bfb3b514,[Hasil Tweet REWRITE oleh Claude dari teks asli sosmed_bfb3b514],social_media_comment,1,Claude
sosmed_bfb3b514,[Hasil Tweet REWRITE oleh Gemini dari teks asli sosmed_bfb3b514],social_media_comment,1,Gemini
sosmed_76068904,Dulu juga dia bersaksi bahwah di pecat orang yang lihai dan licin sepertia dia tidak akan mendapat manfaat bagi indonesia dia ketua ekonomi tapi dolar menembus terlemah dalam sejarah kerjanya apa coba itu data fakta lapangan!!,social_media_comment,0,human
sosmed_76068904,[Hasil Tweet REWRITE oleh ChatGPT dari teks asli sosmed_76068904],social_media_comment,1,ChatGPT
sosmed_76068904,[Hasil Tweet REWRITE oleh Claude dari teks asli sosmed_76068904],social_media_comment,1,Claude
sosmed_76068904,[Hasil Tweet REWRITE oleh Gemini dari teks asli sosmed_76068904],social_media_comment,1,Gemini
sosmed_5674e128,"Di bawah kepemimpinan Presiden Prabowo Subianto, Kabinet Merah Putih telah menorehkan banyak prestasi dan pencapaian. ""Highlight 100 Hari Kabinet Merah Putih Membangun Negeri"" dapat disaksikan pada kanal Youtube BSIP Serealia.",social_media_comment,0,human
sosmed_5674e128,[Hasil Tweet REWRITE oleh ChatGPT dari teks asli sosmed_5674e128],social_media_comment,1,ChatGPT
sosmed_5674e128,[Hasil Tweet REWRITE oleh Claude dari teks asli sosmed_5674e128],social_media_comment,1,Claude
sosmed_5674e128,[Hasil Tweet REWRITE oleh Gemini dari teks asli sosmed_5674e128],social_media_comment,1,Gemini
sosmed_250e8ffa,"pak tolong dengerin keluhan sebagian rakyatmu yg belum bisa hidup sejahtera. Ingat pak, janji Bpk sebelum jadi presiden. akan mengejar koruptor sampai ke Antartika. Masih ingatkah bapak???? Di momen lebaran ini, bersihkan yg membuat kotor pemerintahan bapak. no omon2 😊",social_media_comment,0,human
sosmed_250e8ffa,[Hasil Tweet REWRITE oleh ChatGPT dari teks asli sosmed_250e8ffa],social_media_comment,1,ChatGPT
sosmed_250e8ffa,[Hasil Tweet REWRITE oleh Claude dari teks asli sosmed_250e8ffa],social_media_comment,1,Claude
sosmed_250e8ffa,[Hasil Tweet REWRITE oleh Gemini dari teks asli sosmed_250e8ffa],social_media_comment,1,Gemini
sosmed_7d440d33,"Wah di prediksi sama Prof Ferry pemerintahan bisa digulingkan. Aku harus kasi keyakinan nih sama Prof. Bahwa tdk mungkin di jatuhkan oleh Rakyat.. Percaya deh pemerintah udah On The Track kok, Bentar lagi Buruh Yg di PHK bisa kerja lagi",social_media_comment,0,human
sosmed_7d440d33,[Hasil Tweet REWRITE oleh ChatGPT dari teks asli sosmed_7d440d33],social_media_comment,1,ChatGPT
sosmed_7d440d33,[Hasil Tweet REWRITE oleh Claude dari teks asli sosmed_7d440d33],social_media_comment,1,Claude
sosmed_7d440d33,[Hasil Tweet REWRITE oleh Gemini dari teks asli sosmed_7d440d33],social_media_comment,1,Gemini
sosmed_4c911abb,Akhirnya langkah konkret untuk berantas korupsi! Kami dukung penuh pemerintahan Prabowo dalam memberantas kejahatan ini!,social_media_comment,0,human
sosmed_4c911abb,[Hasil Tweet REWRITE oleh ChatGPT dari teks asli sosmed_4c911abb],social_media_comment,1,ChatGPT
sosmed_4c911abb,[Hasil Tweet REWRITE oleh Claude dari teks asli sosmed_4c911abb],social_media_comment,1,Claude
sosmed_4c911abb,[Hasil Tweet REWRITE oleh Gemini dari teks asli sosmed_4c911abb],social_media_comment,1,Gemini
sosmed_cbe59fbc,"ini pemerintahannya prabowo gibran kerja ga sih? negara kacau banget ini loh, gaada solusi pula!",social_media_comment,0,human
sosmed_cbe59fbc,[Hasil Tweet REWRITE oleh ChatGPT dari teks asli sosmed_cbe59fbc],social_media_comment,1,ChatGPT
sosmed_cbe59fbc,[Hasil Tweet REWRITE oleh Claude dari teks asli sosmed_cbe59fbc],social_media_comment,1,Claude
sosmed_cbe59fbc,[Hasil Tweet REWRITE oleh Gemini dari teks asli sosmed_cbe59fbc],social_media_comment,1,Gemini
sosmed_034da4c9,"Jauh lebih mudah membangun Perdamaian daripada memulai dan menghentikan perang Perang, penjara dan hukuman mati saya anggap tradisi warisan kerajaan purba yang mesti dihapus dari muka bumi Para ahli hukum buntu pikirannya untuk mencapai pengetahuan ini",social_media_comment,0,human
sosmed_034da4c9,[Hasil Tweet REWRITE oleh ChatGPT dari teks asli sosmed_034da4c9],social_media_comment,1,ChatGPT
sosmed_034da4c9,[Hasil Tweet REWRITE oleh Claude dari teks asli sosmed_034da4c9],social_media_comment,1,Claude
sosmed_034da4c9,[Hasil Tweet REWRITE oleh Gemini dari teks asli sosmed_034da4c9],social_media_comment,1,Gemini
sosmed_dfdc1c79,"Prabowo usung konsep baru: kerjasama dagang, hilirisasi SDA, dan perkuatan konsumsi lokal berpadu hadapi tarif",social_media_comment,0,human
sosmed_dfdc1c79,[Hasil Tweet REWRITE oleh ChatGPT dari teks asli sosmed_dfdc1c79],social_media_comment,1,ChatGPT
sosmed_dfdc1c79,[Hasil Tweet REWRITE oleh Claude dari teks asli sosmed_dfdc1c79],social_media_comment,1,Claude
sosmed_dfdc1c79,[Hasil Tweet REWRITE oleh Gemini dari teks asli sosmed_dfdc1c79],social_media_comment,1,Gemini
sosmed_36d9fe5f,Yg dikhawatirkan: - semua orang beli emas karna ketidakpastian ekonomi - keran impor dibuka luas -&gt; rupiah melemah - PHK dimana2 krna bisnis domestik ga bisa lawan impor - kelas menengah kena dampak? Stabilitas negara rusak Pemerintah harus perbaiki secepatnya sebelum terlambat,social_media_comment,0,human
sosmed_36d9fe5f,[Hasil Tweet REWRITE oleh ChatGPT dari teks asli sosmed_36d9fe5f],social_media_comment,1,ChatGPT
sosmed_36d9fe5f,[Hasil Tweet REWRITE oleh Claude dari teks asli sosmed_36d9fe5f],social_media_comment,1,Claude
sosmed_36d9fe5f,[Hasil Tweet REWRITE oleh Gemini dari teks asli sosmed_36d9fe5f],social_media_comment,1,Gemini
